Asesor;Canal;Beca
Undergraduate;Inbound;0
Postgraduate;Digital;0
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Prospeccion;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Digital;0,03
Postgraduate;Inbound;0,03
Postgraduate;Inbound;0,03
Postgraduate;Digital;0,05
Undergraduate;Prospeccion;0,05
Postgraduate;Inbound;0,05
Undergraduate;Prospeccion;0,05
Postgraduate;Prospeccion;0,05
Postgraduate;Digital;0,05
Postgraduate;Inbound;0,05
Postgraduate;Inbound;0,05
Postgraduate;Prospeccion;0,05
Postgraduate;Digital;0,05
Postgraduate;Inbound;0,05
Postgraduate;Digital;0,05
Postgraduate;Prospeccion;0,05
Undergraduate;Prospeccion;0,05
Postgraduate;Inbound;0,05
Postgraduate;Inbound;0,05
Postgraduate;Inbound;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Prospeccion;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Prospeccion;0,05
Undergraduate;Prospeccion;0,05
Postgraduate;Inbound;0,05
Undergraduate;Inbound;0,05
Postgraduate;Digital;0,05
Postgraduate;Digital;0,05
Postgraduate;Prospeccion;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Inbound;0,06
Postgraduate;Inbound;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Prospeccion;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Inbound;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Inbound;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Inbound;0,06
Postgraduate;Prospeccion;0,06
Postgraduate;Digital;0,06
Postgraduate;Prospeccion;0,06
Postgraduate;Inbound;0,06
Postgraduate;Digital;0,06
Postgraduate;Digital;0,06
Postgraduate;Inbound;0,06
Postgraduate;Prospeccion;0,06
Postgraduate;Digital;0,06
Postgraduate;Inbound;0,07
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Inbound;0,08
Postgraduate;Inbound;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Inbound;0,08
Postgraduate;Inbound;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Prospeccion;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Postgraduate;Digital;0,08
Undergraduate;Inbound;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Undergraduate;Digital;0,1
Postgraduate;Inbound;0,1
Undergraduate;Digital;0,1
Undergraduate;Inbound;0,1
Postgraduate;Digital;0,1
Undergraduate;Prospeccion;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Digital;0,1
Undergraduate;Prospeccion;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Undergraduate;Prospeccion;0,1
Undergraduate;Digital;0,1
Postgraduate;Inbound;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Undergraduate;Digital;0,1
Postgraduate;Inbound;0,1
Postgraduate;Digital;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Inbound;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Inbound;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Digital;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Digital;0,1
Postgraduate;Inbound;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Prospeccion;0,1
Postgraduate;Prospeccion;0,11
Postgraduate;Digital;0,11
Postgraduate;Inbound;0,11
Postgraduate;Prospeccion;0,11
Postgraduate;Digital;0,11
Postgraduate;Digital;0,11
Postgraduate;Prospeccion;0,11
Postgraduate;Prospeccion;0,11
Postgraduate;Prospeccion;0,11
Postgraduate;Digital;0,11
Postgraduate;Prospeccion;0,11
Postgraduate;Inbound;0,11
Postgraduate;Prospeccion;0,11
Postgraduate;Prospeccion;0,11
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Inbound;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Prospeccion;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
Postgraduate;Digital;0,12
